date,oil_price,gas_price,oilrig_count,gasrig_count,totalrig_count,onshore_count,offshore_count,totalwell_count,oilwell_count,gaswell_count,oilimports_amount_x,oilimports_amount_y,oilexports_amount_x,oilexports_amount_y,oilproduction_amount_x,oilproduction_amount_y,oilconsumption_amount_x,oilconsumption_amount_y,oilstorage_amount_x,oilstorage_amount_y,oilstoragechange_amount,oildaysofsupply,gasimports_amount,gasexports_amount,gasproduction_amount,gasconsumption_amount,gasstorage_amount,uspopulation,usemissions
2021-10-25,84.64,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,84.53,5.1,,,,,,,,,,8279.0,,7897.0,,11300.0,,19832.0,,1044998.0,,28.3,,,,,,,
2021-10-21,82.64,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-20,84.4,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-19,83.19,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-18,82.62,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15,82.39,5.44,,,,,,,,,,7719.0,,7325.0,,11300.0,,21832.0,,1041820.0,,27.9,,,,,,,
2021-10-14,81.43,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-13,80.67,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-12,80.75,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-11,80.64,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-08,79.55,5.46,,,,,,,,,,8325.0,,8012.0,,11400.0,,19875.0,,1043945.0,,27.7,,,,,,,
2021-10-07,78.46,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-06,77.66,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-05,79.17,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-04,77.68,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
