,gasrig_count,gas_price,gaswell_count,gasimports_amount,gasconsumption_amount
1997-01-07,480.7096774193548,3.82,871.7741935483871,270.98290322580647,2488.7139032258065
1997-01-08,481.16129032258067,3.8,870.9032258064516,269.7653870967742,2480.1093870967743
1997-01-09,481.61290322580646,3.61,870.0322580645161,268.5478709677419,2471.5048709677417
1997-01-10,482.06451612903226,3.92,869.1612903225806,267.3303548387097,2462.9003548387095
1997-01-11,482.51612903225805,3.9466666666666668,868.2903225806451,266.1128387096774,2454.2958387096774
1997-01-12,482.96774193548384,3.973333333333333,867.4193548387096,264.89532258064514,2445.691322580645
1997-01-13,483.4193548387097,4.0,866.5483870967741,263.6778064516129,2437.086806451613
1997-01-14,483.8709677419355,4.01,865.6774193548387,262.46029032258065,2428.4822903225804
1997-01-15,484.3225806451613,4.34,864.8064516129032,261.24277419354837,2419.8777741935482
1997-01-16,484.7741935483871,4.71,863.9354838709677,260.02525806451615,2411.273258064516
1997-01-17,485.2258064516129,3.91,863.0645161290323,258.8077419354839,2402.668741935484
1997-01-18,485.6774193548387,3.6933333333333334,862.1935483870968,257.5902258064516,2394.0642258064518
1997-01-19,486.1290322580645,3.4766666666666666,861.3225806451613,256.3727096774194,2385.4597096774196
1997-01-20,486.5806451612903,3.26,860.4516129032259,255.1551935483871,2376.855193548387
1997-01-21,487.0322580645161,2.99,859.5806451612904,253.93767741935483,2368.250677419355
1997-01-22,487.48387096774195,3.05,858.7096774193549,252.72016129032258,2359.6461612903227
1997-01-23,487.93548387096774,2.96,857.8387096774194,251.5026451612903,2351.0416451612905
1997-01-24,488.38709677419354,2.62,856.9677419354839,250.28512903225806,2342.437129032258
1997-01-25,488.83870967741933,2.74,856.0967741935484,249.0676129032258,2333.8326129032257
1997-01-26,489.2903225806452,2.86,855.2258064516129,247.85009677419353,2325.2280967741935
1997-01-27,489.741935483871,2.98,854.3548387096774,246.63258064516128,2316.6235806451614
1997-01-28,490.19354838709677,3.05,853.483870967742,245.415064516129,2308.019064516129
1997-01-29,490.64516129032256,2.91,852.6129032258065,244.19754838709676,2299.414548387097
1997-01-30,491.0967741935484,2.86,851.741935483871,242.9800322580645,2290.8100322580644
1997-01-31,491.5483870967742,2.77,850.8709677419355,241.76251612903224,2282.2055161290323
1997-02-01,492.0,2.6766666666666667,850.0,240.545,2273.601
1997-02-02,492.92857142857144,2.5833333333333335,850.6071428571429,241.13214285714284,2269.410642857143
1997-02-03,493.85714285714283,2.49,851.2142857142857,241.71928571428572,2265.2202857142856
1997-02-04,494.7857142857143,2.59,851.8214285714286,242.30642857142857,2261.0299285714286
1997-02-05,495.7142857142857,2.65,852.4285714285714,242.89357142857142,2256.8395714285716
1997-02-06,496.64285714285717,2.51,853.0357142857143,243.48071428571427,2252.6492142857146
1997-02-07,497.57142857142856,2.39,853.6428571428571,244.06785714285712,2248.458857142857
1997-02-08,498.5,2.4,854.25,244.655,2244.2685
1997-02-09,499.42857142857144,2.41,854.8571428571429,245.24214285714285,2240.078142857143
